,predict
813,0
814,1
815,0
816,1
817,0
818,0
819,1
820,0
821,0
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,0
830,1
831,1
832,0
833,1
834,0
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,1
843,0
844,1
845,1
846,1
847,1
848,0
849,0
850,0
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,0
859,0
860,1
861,0
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,0
870,1
871,1
872,1
873,0
874,0
875,0
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,0
887,1
888,0
889,0
890,1
891,1
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,1
906,1
907,1
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,0
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,1
946,1
947,0
948,0
949,1
950,1
951,1
952,1
953,0
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,1
963,0
964,1
965,1
966,0
967,1
968,0
969,0
970,1
971,0
972,1
973,1
974,0
975,1
976,0
977,0
978,0
979,1
980,1
981,0
982,0
983,1
984,0
985,0
986,1
987,1
988,0
989,0
990,1
991,0
992,1
993,0
994,0
995,0
996,0
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,1
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,0
1034,0
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,0
1075,0
1076,1
1077,1
1078,0
1079,1
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,1
1089,1
1090,1
1091,1
1092,1
1093,0
1094,1
1095,0
1096,0
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,1
1113,1
1114,0
1115,1
1116,1
1117,0
1118,0
1119,0
1120,1
1121,1
1122,0
1123,0
1124,0
1125,1
1126,1
1127,0
1128,1
1129,0
1130,0
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,1
1145,0
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,0
1167,1
1168,1
1169,1
1170,1
1171,1
1172,0
1173,0
1174,1
1175,1
1176,0
1177,1
1178,0
1179,1
1180,1
1181,1
1182,1
1183,0
1184,1
1185,0
1186,0
1187,0
1188,0
1189,1
1190,0
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,1
1207,1
1208,0
1209,1
1210,1
1211,0
1212,1
1213,0
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,0
1222,1
1223,1
1224,1
1225,0
1226,0
1227,1
1228,0
1229,1
1230,1
1231,0
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,0
1239,0
1240,1
1241,0
1242,0
1243,1
1244,1
1245,0
1246,0
1247,0
1248,1
1249,0
1250,0
1251,0
1252,0
1253,1
1254,1
1255,0
1256,1
1257,0
1258,1
1259,0
1260,1
1261,0
1262,0
1263,1
1264,1
1265,1
1266,1
1267,0
1268,0
1269,0
1270,0
1271,0
1272,1
1273,1
1274,1
1275,1
1276,1
1277,0
1278,0
1279,0
1280,1
1281,1
1282,1
1283,1
1284,0
1285,0
1286,1
1287,0
1288,1
1289,0
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,0
1297,1
1298,0
1299,0
1300,1
1301,0
1302,1
1303,0
1304,0
1305,0
1306,0
1307,1
1308,0
1309,0
1310,1
1311,0
1312,0
1313,0
1314,0
1315,1
1316,1
1317,1
1318,0
1319,0
1320,0
1321,1
1322,0
1323,0
1324,0
1325,1
1326,1
1327,1
1328,0
1329,1
1330,1
1331,1
1332,1
1333,0
1334,1
1335,0
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,0
1343,1
1344,0
1345,0
1346,1
1347,0
1348,1
1349,0
1350,0
1351,1
1352,1
1353,1
1354,0
1355,1
1356,0
1357,0
1358,1
1359,0
1360,0
1361,1
1362,1
1363,0
1364,0
1365,1
1366,0
1367,0
1368,1
1369,1
1370,1
1371,0
1372,1
1373,1
1374,0
1375,1
1376,0
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,0
1384,0
1385,1
1386,0
1387,1
1388,1
1389,1
1390,0
1391,1
1392,0
1393,0
1394,0
1395,1
1396,0
1397,1
1398,0
1399,0
1400,0
1401,1
1402,1
1403,1
1404,0
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,0
1413,1
1414,0
1415,1
1416,1
1417,0
1418,0
1419,1
1420,1
1421,1
1422,0
1423,1
1424,1
1425,0
1426,0
1427,0
1428,1
1429,1
1430,0
1431,1
1432,0
1433,0
1434,0
1435,1
1436,1
1437,0
1438,1
1439,0
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,0
1447,0
1448,1
1449,1
1450,0
1451,0
1452,0
1453,0
1454,1
1455,0
1456,0
1457,1
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,1
1465,1
1466,1
1467,1
1468,1
1469,0
1470,0
1471,1
1472,0
1473,1
1474,1
1475,1
1476,0
1477,1
1478,1
1479,1
1480,0
1481,1
1482,0
1483,0
1484,0
1485,1
1486,0
1487,0
1488,1
1489,0
1490,1
1491,0
1492,0
1493,0
1494,0
1495,1
1496,0
1497,0
1498,1
1499,1
1500,1
1501,0
1502,0
1503,1
1504,1
1505,0
1506,0
1507,0
1508,0
1509,1
1510,1
1511,0
1512,0
1513,1
1514,1
1515,0
1516,0
1517,0
1518,1
1519,0
1520,1
1521,1
1522,1
1523,1
1524,1
1525,0
1526,1
1527,1
1528,1
1529,1
1530,1
1531,0
1532,1
1533,1
1534,0
1535,0
1536,1
1537,1
1538,1
1539,0
1540,0
1541,1
1542,1
1543,0
1544,1
1545,0
1546,1
1547,1
1548,1
1549,1
1550,1
1551,0
1552,0
1553,1
1554,1
1555,1
1556,0
1557,1
1558,1
1559,0
1560,1
1561,1
1562,0
1563,1
1564,0
1565,1
1566,0
1567,0
1568,0
1569,1
1570,1
1571,0
1572,0
1573,0
1574,1
1575,1
1576,0
1577,0
1578,1
1579,0
1580,1
1581,0
1582,0
1583,0
1584,0
1585,0
1586,1
1587,0
1588,1
1589,0
1590,0
1591,1
1592,1
1593,1
1594,0
1595,0
1596,0
1597,0
1598,1
1599,0
1600,0
1601,0
1602,1
1603,1
1604,0
1605,1
1606,0
1607,0
1608,0
1609,1
1610,0
1611,0
1612,1
1613,1
1614,0
1615,1
1616,1
1617,0
1618,1
1619,0
1620,0
1621,0
1622,1
1623,0
1624,1
1625,0
1626,1
1627,0
1628,1
1629,1
1630,1
1631,0
1632,0
1633,0
1634,0
1635,1
1636,1
1637,0
1638,0
1639,1
1640,1
1641,1
1642,0
1643,1
1644,0
1645,1
1646,1
1647,0
1648,1
1649,0
1650,1
1651,0
1652,0
1653,0
1654,1
1655,1
1656,0
1657,1
1658,1
1659,0
1660,1
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,1
1669,1
1670,0
1671,0
1672,0
1673,1
1674,0
1675,1
1676,0
1677,0
1678,1
1679,1
1680,1
1681,0
1682,0
1683,1
1684,1
1685,1
1686,1
1687,1
1688,0
1689,1
1690,0
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,0
1698,1
1699,0
1700,1
1701,0
1702,0
1703,1
1704,1
1705,0
1706,0
1707,1
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,1
1716,1
1717,0
1718,1
1719,0
1720,0
1721,0
1722,1
1723,0
1724,0
1725,0
1726,1
1727,0
1728,0
1729,1
1730,1
1731,0
1732,0
1733,1
1734,0
1735,0
1736,0
1737,0
1738,1
1739,1
1740,1
1741,1
1742,0
1743,1
1744,0
1745,1
1746,1
1747,1
1748,0
1749,0
1750,0
1751,0
1752,1
1753,1
1754,1
1755,1
1756,0
1757,1
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,1
1765,0
1766,0
1767,1
1768,1
1769,1
1770,0
1771,0
1772,1
1773,1
1774,1
1775,0
1776,0
1777,1
1778,1
1779,0
1780,1
1781,1
1782,1
1783,0
1784,0
1785,1
1786,0
1787,1
1788,0
1789,1
1790,1
1791,1
1792,0
1793,0
1794,1
1795,1
1796,0
1797,1
1798,0
1799,0
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,0
1807,0
1808,1
1809,1
1810,0
1811,0
1812,0
1813,1
1814,1
1815,0
1816,0
1817,1
1818,0
1819,0
1820,0
1821,0
1822,0
1823,1
1824,0
1825,0
1826,0
1827,1
1828,0
1829,0
1830,1
1831,1
1832,0
1833,0
1834,1
1835,1
1836,0
1837,1
1838,0
1839,1
1840,0
1841,1
1842,1
1843,1
1844,0
1845,1
1846,0
1847,0
1848,0
1849,0
1850,0
1851,1
1852,0
1853,0
1854,1
1855,0
1856,0
1857,0
1858,1
1859,1
1860,0
1861,0
1862,1
1863,0
1864,0
1865,0
1866,1
1867,1
1868,0
1869,1
1870,1
1871,0
1872,0
1873,1
1874,0
1875,1
1876,0
1877,0
1878,0
1879,1
1880,0
1881,1
1882,0
1883,0
1884,1
1885,0
1886,1
1887,0
1888,1
1889,1
1890,1
1891,1
1892,0
1893,0
1894,1
1895,1
1896,1
1897,0
1898,0
1899,1
1900,0
1901,0
1902,0
1903,1
1904,1
1905,0
1906,0
1907,0
1908,1
1909,0
1910,1
1911,1
1912,0
1913,0
1914,0
1915,1
1916,1
1917,1
1918,1
1919,0
1920,0
1921,0
1922,0
1923,0
1924,1
1925,0
1926,1
1927,0
1928,1
1929,1
1930,1
1931,0
1932,1
1933,1
1934,0
1935,0
1936,1
1937,1
1938,0
1939,0
1940,1
1941,0
1942,0
1943,0
1944,0
1945,1
1946,0
1947,0
1948,0
1949,1
1950,0
1951,0
1952,0
1953,1
1954,0
1955,0
1956,0
1957,0
1958,1
1959,1
1960,1
1961,1
1962,1
1963,0
1964,1
1965,0
1966,1
1967,0
1968,0
1969,0
1970,1
1971,1
1972,0
1973,1
1974,1
1975,1
1976,0
1977,1
1978,0
1979,1
1980,1
1981,1
1982,0
1983,0
1984,0
1985,1
1986,0
1987,0
1988,0
1989,1
1990,0
1991,0
1992,0
1993,0
1994,1
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,1
2002,0
2003,1
2004,1
2005,0
2006,0
2007,1
2008,1
2009,1
2010,1
2011,0
2012,0
2013,1
2014,0
2015,0
2016,1
2017,0
2018,0
2019,1
2020,0
2021,0
2022,1
2023,0
2024,0
2025,0
2026,0
2027,1
2028,0
2029,1
2030,1
2031,1
2032,0
2033,1
2034,1
2035,0
2036,0
2037,1
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,1
2046,1
2047,1
2048,0
2049,1
2050,0
2051,0
2052,0
2053,1
2054,0
2055,0
2056,1
2057,1
2058,0
2059,1
2060,0
2061,1
2062,0
2063,1
2064,1
2065,1
2066,0
2067,0
2068,0
2069,1
2070,0
2071,1
2072,0
2073,0
2074,1
2075,0
2076,1
2077,1
2078,1
2079,0
2080,0
2081,0
2082,0
2083,1
2084,0
2085,0
2086,1
2087,0
2088,1
2089,1
2090,1
2091,1
2092,1
2093,0
2094,1
2095,1
2096,1
2097,1
2098,0
2099,0
2100,1
2101,0
2102,0
2103,0
2104,1
2105,0
2106,1
2107,1
2108,1
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,0
2120,0
2121,1
2122,1
2123,0
2124,0
2125,1
2126,1
2127,1
2128,1
2129,0
2130,1
2131,0
2132,0
2133,0
2134,1
2135,0
2136,1
2137,0
2138,1
2139,1
2140,1
2141,0
2142,0
2143,1
2144,1
2145,1
2146,1
2147,1
2148,0
2149,0
2150,0
2151,1
2152,1
2153,1
2154,1
2155,1
2156,0
2157,0
2158,1
2159,0
2160,0
2161,1
2162,0
2163,0
2164,0
2165,1
2166,1
2167,1
2168,1
2169,0
2170,1
2171,0
2172,1
2173,0
2174,1
2175,0
2176,0
2177,1
2178,1
2179,1
2180,0
2181,1
2182,1
2183,1
2184,0
2185,1
2186,0
2187,0
2188,1
2189,0
2190,0
2191,0
2192,1
2193,0
2194,0
2195,0
2196,0
2197,1
2198,1
2199,0
2200,0
2201,0
2202,0
2203,0
2204,1
2205,1
2206,1
2207,1
2208,0
2209,0
2210,0
2211,0
2212,1
2213,0
2214,1
2215,0
2216,1
2217,1
2218,0
2219,0
2220,0
2221,0
2222,1
2223,0
2224,0
2225,1
2226,1
2227,0
2228,0
2229,1
2230,0
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,0
2238,1
2239,0
2240,1
2241,1
2242,1
2243,0
2244,1
2245,0
2246,0
2247,1
2248,1
2249,0
2250,0
2251,0
2252,1
2253,0
2254,0
2255,1
2256,0
2257,1
2258,1
2259,0
2260,1
2261,0
2262,1
2263,0
2264,1
2265,1
2266,0
2267,0
2268,0
2269,0
2270,1
2271,0
2272,1
2273,0
2274,0
2275,1
2276,0
2277,0
2278,0
2279,1
2280,1
2281,1
2282,1
2283,0
2284,0
2285,0
2286,1
2287,0
2288,1
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,1
2300,0
2301,1
2302,0
2303,1
2304,1
2305,0
2306,1
2307,1
2308,0
2309,1
2310,1
2311,1
2312,1
2313,0
2314,1
2315,0
2316,1
2317,1
2318,1
2319,0
2320,1
2321,1
2322,0
2323,0
2324,0
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,0
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,0
2340,1
2341,0
2342,0
2343,1
2344,0
2345,0
2346,1
2347,1
2348,1
2349,1
2350,0
2351,0
2352,0
2353,1
2354,1
2355,1
2356,1
2357,1
2358,0
2359,0
2360,0
2361,0
2362,0
2363,1
2364,1
2365,0
2366,0
2367,1
2368,1
2369,1
2370,0
2371,1
2372,0
2373,0
2374,0
2375,0
2376,1
2377,1
2378,0
2379,1
2380,0
2381,0
2382,1
2383,0
2384,1
2385,0
2386,0
2387,0
2388,0
2389,1
2390,0
2391,0
2392,0
2393,1
2394,0
2395,1
2396,0
2397,1
2398,0
2399,0
2400,1
2401,0
2402,0
2403,1
2404,0
2405,0
2406,0
2407,0
2408,1
2409,1
2410,0
2411,0
2412,1
2413,0
2414,1
2415,1
2416,0
2417,1
2418,1
2419,1
2420,0
2421,1
2422,0
2423,1
2424,1
2425,0
2426,1
2427,1
2428,0
2429,1
2430,1
2431,0
2432,1
2433,1
2434,0
2435,1
2436,0
2437,1
2438,1
2439,1
2440,0
2441,0
2442,1
2443,1
2444,0
2445,0
2446,0
2447,1
2448,0
2449,0
2450,0
2451,1
2452,0
2453,1
2454,1
2455,1
2456,0
2457,1
2458,0
2459,0
2460,1
2461,1
2462,0
2463,1
2464,1
2465,0
2466,0
2467,1
2468,0
2469,0
2470,1
2471,0
2472,0
2473,0
2474,1
2475,1
2476,1
2477,1
2478,1
2479,0
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,0
2488,1
2489,1
2490,0
2491,0
2492,1
2493,0
2494,0
2495,0
2496,1
2497,1
2498,1
2499,0
2500,0
2501,1
2502,1
2503,1
2504,1
2505,0
2506,1
2507,0
2508,0
2509,1
2510,1
2511,1
2512,0
2513,0
2514,1
2515,1
2516,0
2517,0
2518,0
2519,1
2520,1
2521,1
2522,1
2523,1
2524,0
2525,0
2526,1
2527,0
2528,0
2529,0
2530,1
2531,0
2532,1
2533,0
2534,0
2535,1
2536,0
2537,1
2538,1
2539,1
2540,1
2541,0
2542,1
2543,1
2544,1
2545,0
2546,1
2547,0
2548,1
2549,0
2550,0
2551,1
2552,1
2553,0
2554,0
2555,1
2556,0
2557,0
2558,1
2559,0
2560,0
2561,1
2562,1
2563,1
2564,1
2565,0
2566,1
2567,1
2568,1
2569,0
2570,1
2571,0
2572,1
2573,1
2574,0
2575,0
2576,1
2577,0
2578,0
2579,1
2580,1
2581,0
2582,1
2583,0
2584,1
2585,0
2586,1
2587,1
2588,0
2589,1
2590,0
2591,0
2592,0
2593,1
2594,0
2595,1
2596,1
2597,1
2598,0
2599,0
2600,0
2601,0
2602,1
2603,0
2604,0
2605,0
2606,0
2607,0
2608,1
2609,1
2610,1
2611,1
2612,0
2613,0
2614,1
2615,0
2616,1
2617,0
2618,1
2619,1
2620,1
2621,1
2622,0
2623,1
2624,1
2625,0
2626,1
2627,1
2628,1
2629,1
2630,0
2631,1
2632,1
2633,0
2634,1
2635,0
2636,1
2637,0
2638,1
2639,1
2640,1
2641,0
2642,1
2643,1
2644,0
2645,1
2646,0
2647,0
2648,1
2649,0
2650,1
2651,0
2652,0
2653,1
2654,1
2655,0
2656,0
2657,1
2658,1
2659,1
2660,1
2661,1
2662,1
2663,1
2664,0
2665,1
2666,1
2667,1
2668,1
2669,0
2670,1
2671,1
2672,1
2673,0
2674,0
2675,1
2676,1
2677,1
2678,0
2679,0
2680,0
2681,1
2682,1
2683,1
2684,0
2685,0
2686,0
2687,1
2688,0
2689,0
2690,1
2691,0
2692,0
2693,0
2694,1
2695,1
2696,0
2697,0
2698,0
2699,0
2700,0
2701,1
2702,1
2703,1
2704,1
2705,1
2706,0
2707,1
2708,1
2709,0
2710,0
2711,1
2712,1
2713,0
2714,1
2715,1
2716,0
2717,0
2718,1
2719,1
2720,0
2721,0
2722,1
2723,1
2724,1
2725,1
2726,0
2727,0
2728,0
2729,0
2730,1
2731,0
2732,0
2733,0
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,0
2743,1
2744,0
2745,0
2746,1
2747,1
2748,0
2749,0
2750,0
2751,0
2752,0
2753,1
2754,0
2755,1
2756,1
2757,0
2758,1
2759,1
2760,0
2761,0
2762,1
2763,0
2764,0
2765,1
2766,0
2767,0
2768,1
2769,1
2770,1
2771,1
2772,0
2773,1
2774,1
2775,1
2776,0
2777,1
2778,0
2779,1
2780,0
2781,1
2782,0
2783,1
2784,0
2785,1
2786,0
2787,0
2788,1
2789,0
2790,0
2791,1
2792,1
2793,1
2794,0
2795,0
2796,1
2797,1
2798,1
2799,1
2800,0
2801,1
2802,0
2803,0
2804,1
2805,0
2806,0
2807,1
2808,1
2809,1
2810,0
2811,1
2812,1
2813,0
2814,0
2815,0
2816,1
2817,0
2818,0
2819,1
2820,0
2821,1
2822,0
2823,1
2824,0
2825,1
2826,1
2827,0
2828,1
2829,1
2830,0
2831,1
2832,1
2833,0
2834,1
2835,0
2836,1
2837,1
2838,0
2839,0
2840,1
2841,1
2842,1
2843,0
2844,1
2845,1
2846,1
2847,0
2848,1
2849,1
2850,1
2851,1
2852,0
2853,0
2854,0
2855,1
2856,0
2857,0
2858,1
2859,0
2860,0
2861,0
2862,1
2863,0
2864,0
2865,1
2866,0
2867,1
2868,1
2869,1
2870,1
2871,1
2872,0
2873,1
2874,1
2875,0
2876,1
2877,1
2878,0
2879,0
2880,1
2881,0
2882,0
2883,0
2884,1
2885,1
2886,0
2887,0
2888,0
2889,1
2890,0
2891,1
2892,0
2893,1
2894,1
2895,0
2896,1
2897,1
2898,1
2899,1
2900,1
2901,0
2902,1
2903,1
2904,0
2905,1
2906,0
2907,0
2908,0
2909,0
2910,1
2911,0
2912,1
2913,0
2914,1
2915,1
2916,0
2917,0
2918,0
2919,0
2920,1
2921,1
2922,1
2923,0
2924,0
2925,0
2926,1
2927,0
2928,1
2929,1
2930,1
2931,1
2932,0
2933,1
2934,1
2935,1
2936,0
2937,1
2938,1
2939,1
2940,1
2941,1
2942,0
2943,1
2944,0
2945,1
2946,0
2947,0
2948,0
2949,1
2950,0
2951,1
2952,1
2953,0
2954,0
2955,1
2956,0
2957,1
2958,0
2959,1
2960,1
2961,1
2962,1
2963,0
2964,1
2965,1
2966,0
2967,1
2968,1
2969,1
2970,0
2971,0
2972,0
2973,0
2974,1
2975,1
2976,0
2977,0
2978,0
2979,0
2980,0
2981,1
2982,0
2983,0
2984,0
2985,1
2986,1
2987,1
2988,0
2989,1
2990,1
2991,1
2992,0
2993,1
2994,1
2995,1
2996,1
2997,0
